node_name,degree
םלָֹוע,1
עָּבַמ,3
ַחיִש,1
ְךּומָס,3
ליִוֱא,5
ַחיִכֹומ,3
ץַחַמ,2
הָּכַמ,1
ַעיִמְשַמ,1
לֹורָע,2
ץֶמֹא,1
לּובְּג,3
רָהְמִנ,1
רָשָי,1
עָשָר,4
ץיִרָע,1
הָּלִהְק,1
לֹושְחַנ,1
םָי,5
ץיִלֵמ,5
רָסּומ,1
הֵזֹוח,1
הָחֹכְנ,1
הָקְלֶח,2
לֹוק,9
רֹורְצ,1
שְקֹומ,1
אְוַש,2
יִלְּכ,3
בֹוהְל,1
תיִנֲח,1
םִּיַמ,2
ןֹואָש,2
בָזָּכ,3
שָר,2
קָזָח,1
הָוֹה,7
הָלֹוצְמ,1
ריִע,2
רָצְבִמ,1
הָדֵל,1
ץָרְמִנ,1
הָּיִרָה,6
רֵּבְשַמ,5
תֶוָמ,5
לֹואְש,2
ץֶרֶמ,1
הָעְפֶא,3
תּוצָּלַּפ,1
שֹוא,6
ריִק,1
בֵשֹי,2
דֵרֹי,2
ְךֹובָנ,1
תֶלֶּד,2
ַחיִרָּב,3
שֹודָק,6
ןֹויְבֶא,3
הָמּוהְמ,2
הָבֵהְדַמ,1
חַּפ,3
הָדּוצְמ,1
תֶרֹמְכִמ,2
הָכְלֵח,2
ְךָּתַמ,1
הָמֵח,3
ןֹורָח,2
לַחַנ,5
ףַגֲא,1
ביִבָש,2
בֹוהָל,1
ַעֻּקִר,1
הָשָּבַי,1
תֶפֶז,1
ְךֵּשַחְמ,1
םֹוהְּת,1
שֵרֹּג,2
שֶפֶר,1
רֹוּבִּג,7
הֶזֹוח,2
הָּמִז,2
איִבָנ,1
הֶתֹּפ,1
גֵעֹל,1
הָמְרִמ,1
ַחֹוּכ,1
רֵבֹש,2
םֶצֶע,2
ריִּדַא,1
הֶתֹש,2
םַּד,1
רֹובִּג,1
שֵרֹּפ,1
ריִפְּכ,1
ןיִּנַּת,1
הָּנִר,3
הֵיְרַא,1
םַעַ,1
יאטאט,1
רַהְמִנ,1
דָמְצִנ,1
ןיּנַּת,1
לֵחֹז,1
ריִצ,1
דֵלֹי,1
רֹואָמ,3
הָחָנֲא,2
לַעַּב,7
ןָדְמ,1
המֹוח,1
לֵזְרַּב,1
אְוָש,1
סָמָח,1
בֵזֹע,1
האַּטַח,1
הָכָלְמַמ,1
רָעְצִמ,1
הָיְחִמ,1
הָחיִלְס,3
יִפֱע,2
רָהָנ,2
ּהַגֹנ,1
ףַעַז,1
םיִעְוִע,2
רַעַש,2
רֹוצָמ,1
תֶלֹקְשִמ,2
ןֶבֶא,2
ןֵח,1
ןֵגָמ,1
בֶרֶח,1
בֵכֹש,1
תַעַלֹוּת,2
תֵמ,2
דֵז,1
תֹויֱה,1
לָּדְגִמ,1
הָביִתְנ,2
ליִבְש,3
הֶסֲחַמ,1
תֵפֹומ,1
קיֵח,4
ןֵמֹא,2
תיִרֵאְש,2
עַבֶש,1
הֶוֲעַנ,1
ּוהֹּת,1
םָלֱעֶנ,2
עּוּבַמ,1
הָּיִצ,1
ןַּג,1
עָּטַמ,3
שֹורְּב,1
ץֵע,6
רֶצֶנ,2
הֶלָע,1
הָּיַח,1
רַעַי,1
ףֹוע,1
טַהַל,1
זּוּב,1
הֶרֹוי,1
םֶשֶּג,1
ַעּוּבַמ,1
לּוּבַמ,1
ןֹוכָנ,2
שֶמֶש,1
הָרֵאְּפ,1
רּוצ,1
שיִמָּלַח,1
םֹח,1
שֻאָּב,1
זֹועָמ,1
םיִַנְתָמ,1
קֵז,2
ַעֵּלַבְמ,1
תֶשֹּב,2
הֶנֹּפ,1
אֵּפְרַמ,1
זֹוּב,1
רַצ,1
ליִלְּכ,1
הָּכַמ,1
הָרּובְג,1
דֵש,1
הֵרֹה,1
תַחַכֹוּת,1
רָמְשִמ,2
טֶלֶּפ,1
ְךֶלֶמ,1
דָּבְכִנ,1
ןָגָּד,1
רָהְצִי,1
גֶלֶּפ,1
רֶדֶח,1
לֹואְּש,1
ַחֹּכ,3
יִגֲה,1
הָדֹוה,1
לָּזַמ,3
הָבּושְּת,2
ןֹוגֹי,1
הָניִק,1
דֵּפְּסִמ,1
לֶבֶנ,1
לֵהֹא,1
הָפּוקְּת,1
ףֵסָאֵה,1
דָלֹומ,4
הָמָמְש,1
רֹודָמ,1
לֵרָע,1
םותרוא,1
ןוטמ,1
רֶפֶא,1
רַעַס,2
ץֶפֶח,5
םיִּמַצ,1
הָּיִמְר,1
הָעּומְש,1
ַעֵמֹש,1
הָבּושְּת,1
בָעְתִנ,1
תֹבֲע,1
הָמָר,1
הָדּועְּת,1
הָמָדֲא,3
הרוכמ,1
ןיכת,1
זָֹר,1
רֹוסְחַמ,2
ֲחּור,1
ֹוטֹוא,1
רֹוכְּב,1
שֶרֹש,3
הֶרֹוה,2
זֳר,1
רֶזֵע,1
הָּׁשִא,1
רָאְש,1
רָּסִא,1
הָּדֻקְּפ,1
רֶשֹּכ,1
הָניִבְמ,1
רָּתְסִנ,1
תֵש,1
ןֹובָנ,1
עַשֶי,1
זֹוחָמ,1
וטוא,1
הָאָלְפִנ,1
בֹקָע,1
טוא,3
ליִּכְשַמ,2
הָׁעֵּד,1
לֵחֹנ,1
קיִזְחַמ,1
הָּלֻעְּפ,1
הָפיֵא,2
ריִש,1
םָלֹֹוע,1
ְךֵלֹה,1
םָכָח,1
ַחֹכ,1
ץֵל,1
חַמֶצ,1
םיִּקַמֲעַמ,1
םיִנָש,1
הָּוַח,1
לָכֲאַמ,1
ןֵש,1
םּוחָל,1
ףֶשֶר,1
םִיַנְזאֹמ,2
תֹורֹפְס,1
הֶפָי,1
הֶאְרַמ,1
ףֶגֶנ,1
הָקּושְּת,1
ןאֹצ,2
לֵבָא,1
ְ,1
הֶדָש,1
לֵמְרַּכ,1
הֶרֹה,1
ןֶטֶּב,1
רֹוכְּב,1
הָמֵהְּב,1
ןֶטֶּּב,1
חַרֹק,1
איִשָנ,1
ץִיַק,1
הָמָׁדֲא,1
טֵפֹש,1
