book,sentence_path,section,composition,similarity,normalized_similarity,text,n_words
4Q418,4Q418:f69ii:7-f69ii:15,sectarian_texts,Instruction,0.96706414,0.9827318,מחשכיה יצרחו על ריבכם וכול נהיה עולם דורשי אמת יעורו למשפטכם ואז ישמדו כול אוילי לב ובני עולה לוא ימצאו עוד וכול מחזיקי רשעה יבשו ואז במשפטכם יריעו מוסדי הרקיע וירעמו כול צ ל ל אהב ואתם בחירי אמת ורודפי משחרי בינה ושוקדים על כול דעה איכה תאמרו יגענו בבינה ושקדנו לרדוף דעת בכול מ ולא עיף בכול נשני עולם הלוא באמת ישעשע לעד ודעה לנצח תשרתנו ובני שמים אשר חיים עולם נחלתם האמור יאמרו יגענו בפעלות אמת ויעפנו בכול קצים הלוא באור עולם יתהלכו כבוד ורוב הדר אתם ברקיעי בסוד אילים כול ואתה בן מבין ,97
4Q429,4Q429:f3:9-f4i:9,sectarian_texts,4QH,0.96689665,0.9821027,שקויי לבעל מדנים ויבוא בעצמי להכשיל רוח ולכלות כוח כרזי פשע משנים מעשי אל באשמתם כי נאסרתי בעבותים לאין נתק וזקים ללו ישוברו וחומת עוז בעדי ובריחי ברזל ודלתי נחושת לאין פתוח כלאי עם תהום נחשב לאין מנוס עד שחקים ושרשיו עד תהום וכל נהרות עדן תלחלחנה דליותיו והיה לימים לאין חקר והתאזרו על תבל לאין אפס ועד שאול והיה מעין אור למקור עולם לאין הסר בשביבי נוגהו יבערו כל בני עולה והיה לאש בוערת בכל אנשי אשמה עד כלה והמה נצמדי תעודתי פותו במליצי תעות להביא זר בעבודת צדק ואתה אל צויתם להועיל מדרכיהמה בדרך קודש אשר ילכו בה וערל וטמא ופריץ ,104
1QS,1QS:4:20-4:26,sectarian_texts,community_rule,0.9668052,0.98175925,מעשי גבר וזקק לו מבני איש להתם כול רוח עולה מתכמי בשרו ולטהרו ברוח קודש מכול עלילות רשעה ויז עליו רוח אמת כמי נדה מכול תועבות שקר והתגולל ברוח נדה להבין ישרים בדעת עליון וחכמת בני שמים להשכיל תמימי דרך כיא בם בחר אל לברית עולמים ולהם כול כבוד אדם ואין עולה יהיה לבושת כול מעשי רמיה עד הנה יריבו רוחי אמת ועול בלבב גבר יתהלכו בחכמה ואולת וכפי נחלת איש באמת וצדק וכן ישנ א עולה וכירשתו בגורל עול ירשע בו וכן יתעב אמת כיא בד בבד שמן אל עד קץ נחרצה ועשות חדשה והואה ידע פעולת מעשיהן לכול קצי וינחילן לבני איש לדעת טוב ורע להפיל גורלות לכול חי לפי רוחו ביום מועד הפקודה ,117
4Q428,4Q428:f18:1-f21:4,sectarian_texts,4QH,0.9666591,0.98121053,ואוזן בשר גליתה ו לאנוש במזמת לבכה וקץ תעודה השכלתה לבשר כיא בצבא המרום תשפוט במרום וביושבי האדמה על האדמה וגם בשאול תחתיה תשפוט וביושבי חושך תריב להצדיק צדיק ולהרשיע רשע כיא אין מבלעדיכה ולוא לבני וגם רוחות מחושך וי ם ונמארים לבלתי רשעתם בחכמת כבודכה ולוא יכירו כול מעשי צדקכה לעוון בעדת בני שמים ובסוד קדושים יתרוממו ם ירננו לזמר ולהלל ל לאין השבת ואני יצר החמר כדעתי ספרתי בעדת קדושיכה בהגדל והפלא לאל כיא אתה אל הדעות בפי עוז מנשף ל לרצונכה ונעצור כוח לשמוע נפלאות כאלה דברנו לכה ולוא לאיש בינים והטיתה אוזן למוצא שפתינו השמיעו ואמרו ברוך אל הדעות הנוטה ,105
1QS,1QS:11:13-11:20,sectarian_texts,community_rule,0.9666395,0.98113686,יחלץ נפשי ויכן לדרך פעמי ברחמיו הגישני ובחסדיו יבוא משפטי בצדקת אמתו שפטני וברוב טובו יכפר בעד כול עוונותי ובצדקתו יטהרני מנדת אנוש וחטאת בני אדם להודות לאל צדקו ולעליון תפארתו ברוך אתה אלי הפותח לדעה לב עבדכה הכן בצדק כול מעשיו והקם לבן אמתכה כאשר רציתה לבחירי אדם להתיצב לפניכה לעד כיא מבלעדיכה לוא תתם דרך ובלי רצונכה לוא יעשה כול אתה הוריתה כול דעה וכול הנהיה ברצונכה היה ואין אחר זולתכה להשיב על עצתכה ולהשכיל בכול מחשבת קודשכה ולהביט בעומק רזיכה ולהתבונן בכול נפלאותיכה עם כוח גבורתכה ומי יכול להכיל את כבודכה ומה אפ הואה בן האדם במעשי פלאכה ,102
1QM,1QM:10:12-11:3,sectarian_texts,War Scroll,0.9659107,0.9783993,רוחות וממשלת קדושים אוצרות כבוד עבים הבורא ארץ וחוקי מפלגיה למדבר וארץ ערבה וכול צאצאיה עם פר ה חוג ימים ומקוי נהרות ומבקע תהומות מעשי חיה ובני כנף תבנית אדם ותולדות זרעו בלת לשון ומפרד עמים מושב משפחות ונחלת ארצות מועדי קודש ותקופות שנים וקצי עד ו ה אלה ידענו מבינתכה אשר אוזניכה אל שועתנו כיא ל ביתו הכ כיא אם לכה המלחמה ובכוח ידכה רוטשו פגריהם לאין קובר ואת גולית הגתי איש גבור חיל הסגרתה ביד דויד עבדכה כיא בטח בשמכה הגדול ולוא בחרב וחנית כיא לכה המלחמה ואת פלשתיים הכניע פעמים רבות בשם קודשכה וגם ביד מלכינו הושעתנו פעמים רבות ,103
4Q171,4Q171:f1_2i:1-f1_2ii:6,sectarian_texts,Pesharim,0.9657538,0.97781, ה יר ב ר ת ית צהרים ת רצון ת הוללים בחרי אוהבי פרע ומתעים רשעה ביד אלוהים דום ליהוה והתחולל לו ואל תחר במצליח דרכו באיש עושה מזמות פשרו על איש הכזב אשר התעה רבים באמרי שקר כיא בחרו בקלות ולוא שמעו למליץ דעת למען יובדו בחרב וברעב ובדבר הרף מאף ועזוב חמה ואל תחר אך להרע כיא מרעים יכרתו פשרו על כול השבים לתורה אשר לוא ימאנו לשוב מרעתם כיא כול הממרים לשוב מעונם יכרתו וקואי יהוה המה ירשו ארץ פשרו המה עדת בחירו עושי רצונו ועוד מעט ואין רשע ואתבוננה על מקומו ואיננו פשרו על כול הרשעה לסוף ,103
1QHa,1QHa:26:35-fA5:1,sectarian_texts,Hodayot,0.96548826,0.97681266,אלה ומה יחשב עפר ואפר לספר אלה מקץ לקץ ולהתיצב במעמד לפניכה ולבוא ביחד עם בני שמים ואין מליץ להשיב דבר כפיכה ו לכה כיא העמדתנו לרצונכה ב ונעצור כוח לשמוע נפלאות כאלה דברנו לכה ולוא לאיש בינים והטיתה אוזן למוצא שפתינו השמיעו ואמורו ברוך אל עליון הנוטה שמים בכוחו וכול מחשביהם מכין בעוזו ארץ בגבורתו עושה ים ל רציתה ב בלוא עפר כמוני כבודכה מכה בהפלא וא קודש על ידי גבורתכה בפי ל משפטכה ך אתחנן מענה לשון נהיה בתבל לאנשי בריתך עוון ואשמה א כי אין פה ותודיעני קדושיכה ובפקוד ,93
1QpHab,1QpHab:10:8-11:6,sectarian_texts,Pesharim,0.96540356,0.97649455,ולאומים בדי ריק ייעפו פשר הדבר על מטיף הכזב אשר התעה רבים לבנות עיר שוו בדמים ולקים עדה בשקר בעבור כבודה לוגיע רבים בעבודת שוו ולהרותם במעשי שקר להיות עמלם לריק בעבור יבואו למשפטי אש אשר גדפו ויחרפו את בחירי אל כיא תמלא הארץ לדעת את כבוד יהוה כמים יכסו על הים פשר הדבר אשר בשובם ל הכזב ואחר תגלה להם הדעת כמי היים לרב הוי משקה רעיהו מספח חמתו אף שכר למען הבט אל מועדיהם פשרו על הכוהן הרשע אשר רדף אחר מורה הצדק לבלעו בכעס חמתו אבית גלותו ובקץ מועד מנוחת ,94
1QS,1QS:4:26-5:5,sectarian_texts,community_rule,0.96514356,0.975518,להפיל גורלות לכול חי לפי רוחו ביום מועד הפקודה וזה הסרך לאנשי היחד המתנדבים לשוב מכול רע ולהחזיק בכול אשר צוה לרצונו להבדל מעדת אנשי העול להיות ליחד בתורה ובהון ומשיבים על פי בני צדוק הכוהנים שומרי הברית ועל פי רוב אנשי היחד המחזקים בברית על פיהם יצא תכון הגורל לכול דבר לתורה ולהון ולמשפט לעשות אמת יחד וענוה צדקה ומשפט ואהבת חסד והצנע לכת בכול דרכיהם אשר לוא ילך איש בשרירות לבו לתעות אחר לבבו ועיניהו ומחשבת יצרו ואאם כיא אם למול ביחד עורלת יצר ועורף קשה ליסד מוסד אמת לישראל ליחד ברית ,95
1QM,1QM:18:1-18:7,sectarian_texts,War Scroll,0.9649877,0.97493255,הנשא יד אל הגדולה על בליעל ועל כול חיל ממשלתו במגפת עולמים ותרועת קדושים ברדף אשור ונפלו בני יפת לאין קום וכתיים יכתו לאין שארית ופליטה והיתה משאת יד אל ישראל על כול המון בליעל בעת ההיאה יריעו הכוהנים בשש חצוצרות הזכרון ונאספו אליהם כול מערכות המלחמה ונחלקו על כול מחני הכתיים להחרימם ובאוץ השמש לבוא ביום ההואה יעמוד כוהן הרואש והכוהנים והלויים אשר אתו וראשי כול מערכות הסרך וברכו שם את אל ישראל וענו ואמרו ברוך שמכה אל אלים כיא הגדלתה עם עמכה להפליא ובריתכה שמרתה לנו מאז ושערי ישועות פתחתה לנו פעמים רבות ,96
4Q417,4Q417:f1i:11-f1i:19,sectarian_texts,Instruction,0.9649773,0.97489357,מבינתם ויפרש לא ריה ובכושר מבינות נודעו נסתרי מחשבתו עם התהלכו תמים בכול מעשיו אלה שחר תמיד והתבונן בכול תוצאותמה ואז תדע בכבוד עוזו עם רזי פלאו וגבורות מעשיו ואתה מבין רוש פעלתכה בזכרון השלום כי בא חרות החוקכה וחקוק כול הפקודה כי חרות מחוקק לאל על כול ע בני שות וספר זכרון כתוב לפניו לשמרי דברו והואה חזון ההגוי לספר זכרון וינחילונו לאנוש עם עם רוח כיא כתבנית קדושים יצרו ועוד לוא נתן הגוי לרוח בשר כי לא ידע בין טוב לרע כמשפט רוחו ואתה בן מבין הבט ברז נהיה ודע ת כול חי והתהלכו הפקוד על מעשי ל ה ועו ל ,104
1QM,1QM:13:15-14:5,sectarian_texts,War Scroll,0.9648485,0.97440976,ולהשמיד באשמה להשפיל חושך ולהגביר אור ול ל למעמד עולמים לכלות כול בני חושך ושמחה לכול בני אור כיא אתה יעדתנו למ כאש עברתו באלילי מצרים ואחר העלותם מעל החללים לבוא המחנה ירננו כולם את תהלת המשוב ובבוקר יכבסו בגדיהם ורחצו מדם פגרי האשמה ושבו אל מקום עומדם אשר סדרו שם המערכה לפני נפול חללי האויב וברכו שם כולם את אל ישראל ורוממו שמו ביחד שמחה וענו ואמרו ברוך אל ישראל השומר חסד לבריתו ותעודות ישועה לעם פדותו ויקרא כושלים לגבורות פלא וקהל גויים אסף לכלה אין שארית ולהרים במשפט ,91
1QS,1QS:2:19-3:1,sectarian_texts,community_rule,0.9646833,0.97378916,ככה יעשו שנה בשנה כול יומי ממשלת בליעל הכוהנים יעבורו ברשונה בסרך לפי רוחותם זה אחר זה והלויים יעבורו אחריהם וכול העם יעבורו בשלישית בסרך זה אחר זה לאלפים ומאות וחמשים ועשרות לדעת כול איש ישראל איש בית מעמדו ביחד אל לעצת עולמים ולוא ישפל איש מבית מעמדו ולוא ירום ממקום גורלו כיא הכול יהיו ביחד אמת וענות טוב ואהבת חסד ומחשבת צדק איש לרעהו בעצת קודש ובני סוד עולמים וכול המואס לבוא בברית אל ללכת בשרירות לבו לוא יעבור ביחד אמתו כיא געלה נפשו ביסורי דעת משפטי צדק לוא חזק למשוב חיו ועם ישרים לוא יתחשב ,98
1QHa,1QHa:12:27-12:34,sectarian_texts,Hodayot,0.96457607,0.9733864,מוראם על עמכה ומפץ לכול עמי הארצות להכרית במשפט כול עוברי פיכה ובי האירותה פני רבים ותגבר עד לאין מספר כי הודעתני ברזי פלאכה ובסוד פלאכה הגברתה עמדי והפלא לנגד רבים בעבור כבודכה ולהודיע לכול החיים גבורותיכה מי בשר כזאת ומה יצר חמר להגדיל פלאות והוא בעוון מרחם ועד שבה באשמת מעל ואני ידעתי כי לוא לאנוש צדקה ולוא לבן אדם תום דרך לאל עליון כול מעשי צדקה ודרך אנוש לוא תכון כי אם ברוח יצר אל לו להתם דרך לבני אדם למען ידעו כול מעשיו בכוח גבורתו ורוב רחמיו על כול בני רצונו ואני רעד ורתת אחזוני וכול גרמי ירועו וימס לבבי כדונג מלפני אש וילכו ברכי ,109
4Q372,4Q372:f1:19-f2:4,unknown,,0.9644029,0.97273606,וחסדיך גדלים לכל דרשיך לקחו ארצי ממני ומכל אחי אשר נלוו עמי עם אויב יושב עליה וכ ף ופתח פיהו על כל בני אהביך יעקב בכעסים לל עת תשמידם מכל תבל ויתנו ואקום לעשות משפט וצדקה לעשות רצון בראי ולזבח זבחי תודה את אלהי ואגיד חסדיך אהללך יהוה אלהי ואברכך כל הראשנות וללמד לפשעים חקיך ולכל עזביך תורתך ורע אשר לא להכיחי עדותיך ולהגיד דברי צדקך כי אל גדול קדוש גבור ואדיר נורא ונפלא השמים והארץ וגם במעמקי תהום הוד והדר אני ידעתי והתבננתי וח ל לב יהוה בשמים בתהמות ובכל אבדון המלמד ידו למלחמה הנוקם ,97
4Q428,4Q428:f14:2-f18:1,sectarian_texts,4QH,0.9642923,0.97232056,להוכיח ליצר חמר דרכו ואשמת ילוד אשה כמעשיו ולפתח מקור אמתכה ליצר אשר סמכתה בעוזכה להרים כאמתכה מבשר ולספר טובכה לבשר ענוים לרוב רחמיכה ולהשביע ממקור דעת כול נכאי רוח ואבלים לשמחת עולם ותפתח פי עבדכה ארץ ויעופפו בה כול מלאכי שמים בעבותי רוח ותכנע אלים ממכון קודשכה והמה לוא ישרתוכה במעון כבודכה ואתה אדם על כעוף אסור עד קץ רצונכה בל שלח רמות כוח ורוב בשר להרשיע בקצי חרונכה כה להפלא להכין בסוד עמכה עזבתם ביד כול מבקשי נפשם ם רשעה להפיל גורלות לכול רוחות עולה אשר יושדו לאבל יעגן לדורי נצח וברום רשעה ואוזן בשר גליתה ו לאנוש במזמת ,102
11Q13,11Q13:2:8-2:15,sectarian_texts,Melchizedek,0.96416426,0.97183967,ואנשי גורל מלכי צדק ם עליהמה הת לפי כול עשותמה כיא הואה הקץ לשנת הרצון למלכי צדק ולצבאיו עם קדושי אל לממשלת משפט כאשר כתוב עליו בשירי דויד אשר אמר אלוהים נצב בעדת אל בקורב אלוהים ישפוט ועליו אמר ועליה למרום שובה אל ידין עמים ואשר אמר עד מתי תשפוטו עוול ופני רשעים תשאו סלה פשרו על בליעל ועל רוחי גורלו אשר ים בסורמה מחוקי אל להרשיע ומלכי צדק יקום נקם משפטי אל וביום ההואה יצילמה מיד בליעל ומיד כול רוחי גורלו ובעזרו כול אלי הצדק והואה אשר כול בני אל והפ הזואת הואה יום השלום אשר אמר ביד ישעיה הנביא אשר אמר מה נאוו ,106
1QHa,1QHa:7:34-8:12,sectarian_texts,Hodayot,0.96380585,0.97049344,הוא בשר כי ישכיל באלה ויצר עפר איך יוכל להכין צעדו אתה יצרתה רוח ופעולתה הכינותה מעולם ומאתך דרך כול חי ואני ידעתי כיא לא ישוה כול הון באמתך ואין בתבל כמלאכי קודשך ואדעה כי בם בחרתה מכול ולעד הם ישרתוך ולא תקבל שוחד למעשי רע ולא תקח כופר לעלילות רשעה כיא אל אמת אתה וכול עולה תשמיד לעד וכול רשעה לא תהיה לפניך ואני ידעתיך כי לך דרך כול חי וברצונך כול מעשה ואדעה כיא ל קודשך ב כי ב ם וכול אנשי מופת תביא במספר ואין כרזי פלאו בשמים ובארץ ות ובידך משפט כולם ך ש ואין לנגדך ומה נחשב וכול ,104
4Q177,4Q177:f7:5-f10_11:5,sectarian_texts,Catena_Florilegium,0.9637908,0.9704368, עי האנשים אשר עבדו אלהים אחרים לאשר להמה טמא ול חד ערומי כיא לוא עם מ סף ההר ספ עליהמה באחרית הימים יהם ברוב הברורים המה עדת דורשי החלקות בקנאתמה ובמשטמתמה מיהודה בכול העמים עם צדיק ורשע אויל ופתי רי ערלות לישרם בדור האחרון אמרות יהוה אמרות טהרות כסף צרוף בעליל לארץ מזקק שבעתים כאשר כתוב כי הנה האבן אשר נתתי לפני יהושע על אבן אחת שבעה עינים מפתחת פתוחה נואם יהוה אשר אשר עליהם כתוב ורפאתי את ל אנשי בליעל וכול האספסוף המה דורש התורה כיא אין ,90
4Q496,4Q496:f1_2:1-f7:4,sectarian_texts,4QM,0.96370935,0.970131, ותרועת אלים ובכול צרותם מלחמתם ושלושה יתאזרו מאמצת לבב בני ממשלתו ולכול אמת לכלת ל ת ב יצא בחמה גדולה להלחם במלכי הצפון ולהכרית קרן ישראל והיאה עת ישועה גורל בליעל והיתה מהומה וסרה ממשלת כתיים כול לבני חושך ובני צדק כול מועדי חושך כבוד ושמחה תעורך המלחמה ומלחמת תערך המלחמה שש שנים יעורכוה ומלחמת המחלקות בתשע ועשרים ילחמו בארם נהרים ובשנית בעוץ ובחמישית ילחמו בכול מקטרת ניחוח לרצון אל בשולחן כבוד את כול אלה שנת השמטה ובשלוש ושלושים יהיו אנשי השם ,84
1QHa,1QHa:14:32-15:4,sectarian_texts,Hodayot,0.9635623,0.9695787,אז תחיש חרב אל בקץ משפט וכול בני אמתו יעורו להכרית רשעה וכול בני אשמה לא יהיו עוד וידרוך גבור קשתו ויפתח מצורי השמים למרחב אין קץ ושערי עולם להוציא כלי מלחמות ויעצומו מקצה עד קצה וחצים יורו ואין פלט ליצר אשמה לכלה ירמוסו ואין שרית ואין תקוה ברוב פגרים ולכול גבורי מלחמות אין מנוס כי לאל עליון ה ושוכבי עפר הרימו תרן ותולעת מתים נשאו נס ל י ר ו במלחמות זדים ובעבור שוט שוטף בל יבוא במבצר ל ל לתפל וככפיס לא מ אמת ם ואני נאלמתי מהוותם ק אלה וגדפוני ,94
4Q428,4Q428:f1:1-f4:2,sectarian_texts,4QH,0.96350443,0.9693613, אנוש ואל כול ברית אדם אביט ה ימצאוה וב משיגיה ואוהביה יכה לעולמי עד הודעתני בעבור כבודכה ובעומק בינתכה השכלתני ומעין בינתכה לוא סתרתה ואתה גליתה דרכי אמת ומעשי רע להתם דמו לשפוך על עבודתכה אפס כיא לוא ידעו כיא מאתכה מצעדי וישימוני לבוז וחרפה בפי כול דורשי רמיה ואתה אלי עזרתה נפש עני ורש מיד חזק ממנו ותפד נפשי מיד אדירים ובגדפותם לוא החתותני לעזוב עבודתכה מפחד הוות רשעים ולהמיר בהולל יצר סמוך אשר נתתה חוקים ובתעודות כוננתני להחזיק בשר שחת לכול צאצאי עם לשון כלמודיכה ובמשפט צירים בכור הריה בכור הריה והרית אפעה לחבל נמרץ ומשברי שחת לכול מעשי פלצות ויריעו אושי קיר כאוניה ,108
