node_name,degree
שֹוריִּת,4
רָהְצִי,3
ןאצ,1
ַחֵּבְזִמ,5
םָּד,17
חַבֶז,15
איִבָנ,1
םֵלֹח,1
םֹולֲח,1
אָּמִא,1
קיֵח,4
לָעָיִלְּב,6
בֵשֹי,11
לֵּת,1
םָלֹוע,17
ןֹורָח,4
הָּלֻגְס,2
הֶש,2
שֶבֶּכ,1
זֵע,2
סֵרַפְמ,1
הָסְרַּפ,3
ַעֵסֹש,1
עַסֶש,1
הֶלֲעַמ,3
הָרֵּג,1
הָרֵּג,2
סיִרְפַמ,2
תַּב,14
הָנֲעַי,1
ץֶרֶש,1
ףֹוע,6
םֵא,15
הָאּובְּת,12
עַרֶז,9
הָּטִמְש,4
הֵּשַמ,1
יַּד,1
רֹוסְחַמ,2
עַבֶש,3
רָכָש,1
ריִכָש,1
רֹוש,4
שֶדֹח,2
ביִבָא,2
םֶחֶל,17
יִנָע,8
גַח,7
ַעּובָש,2
הָּסִמ,2
הָבָדְנ,3
הָּכֻס,5
הֶנָּפ,29
הָּצַמ,1
הָנָּתַמ,1
קֶדֶצ,20
םָכָח,14
קיִּדַצ,34
חֵּבְזִמ,3
הָבֵעֹות,1
ביִר,4
אֵסִּכ,1
הֶנְשִמ,1
הָרֹוּת,25
ןֵהֹּכ,1
זֵּג,1
יֹוּג,6
רָבָּד,1
ַחֵצֹר,1
לֵאּג,1
תֶוָמ,19
ןֵקָז,19
לֵאֹּג,1
יִקָנ,2
סָמָח,13
רֶקֶש,29
ְךַר,2
בֵיֹא,14
לָכֲאַמ,2
הָלְגֶע,1
הֶפָי,2
רַאֹּת,1
הָלְמִש,2
יִבֶש,1
חַרֶי,2
בּוהָא,1
אּונָש,2
ןֹוא,3
רַעַש,4
םֹוקָמ,7
אְטֵח,5
הָלָלְק,2
הָדֵבֲא,1
רֹומֲח,1
רֶבֶּג,8
ןֵק,1
םֶרֶּכ,3
תּוסְּכ,1
הָליִלֲע,2
רַעַנ,6
םיִלּותְּב,2
רָבָד,4
לּותָּב,1
חַתֶּפ,10
לּועָּב,1
לַעַּב,2
ַעּוצָּפ,1
אָּכּד,1
תּורָּכ,1
הָכְפָש,1
לָהָק,11
רֹועְּב,1
הֶרָק,1
הָלְיַל,3
הָוְרֶע,2
ןַנְתֶא,1
הָנֹז,2
ריִחְמ,2
בֶלֶּכ,4
ְךֶשֶנ,3
ףֶסֶּכ,6
לֶכֹא,1
הָמָק,2
רֶפֵס,6
תּותיִרְּכ,2
עַגֶנ,1
תַעַרָצ,1
הָאָּשַמ,1
הָמּואְמ,1
רֵּג,2
דֶגֶּב,2
תֹוּכַה,1
תֵמ,2
ץּולֲח,1
לַעַנ,1
דָחֶא,1
הֵּכַמ,6
הֵשֹע,10
לֶוָע,2
רֶכֵז,6
קֵלָמֲע,1
טַעְמ,1
ןֹועָמ,3
שֶדֹק,26
שָרָח,1
הָּשִא,1
לָלֲעַמ,4
ןיִחְש,1
ןֹוהָּמִּת,1
לֵא,29
הֶאְרַמ,2
בֹוט,11
בַר,13
רֶסֹח,1
לֹע,1
זֹע,17
רָשָּב,7
רֵסָח,14
לֹודָּג,3
ןָמֱאֶנ,2
הֵּכַּמ,1
ןֹויָּלִּכ,1
ןובָאֵּד,1
דַחַּפ,3
יִּשַנְמ,1
בֵטֹח,1
בֵאֹש,1
הָלָא,2
תּורִרְש,1
הָכֵּפֲהַמ,2
םֹדְס,2
הָרֹמֲע,2
יִרֳח,1
ְךֶרֹא,6
םיִרְשֶע,2
ןֹורָא,3
דֵעֹמ,4
לֶהֹא,7
דֵעֹומ,3
דּוּמַע,2
ןָנָע,2
רָכֵנ,8
אֵשֹנ,3
ןֶזֹא,7
הָריִש,3
רֶמֵא,19
הָנּומֱא,6
רֹוד,7
קֶלֵח,3
ןֹושיִא,6
הָמָּב,1
הָבּונְּת,1
שיִמָּלַח,1
רּוצ,8
הָאְמֶח,1
רַּכ,2
הָיְלִּכ,1
בָנֵע,2
הָעּושְי,17
סַעַּכ,5
רֹוּד,3
הָכּוּפֲהַּת,4
דָסֹומ,5
הֶזָמ,1
בַָעַָר,1
ףֶשֶר,2
ןֵש,3
הָמֵח,13
לַחַז,1
רָפָע,4
הָביֵש,2
דֵבֹא,1
הָצֵע,8
הָמֵדְש,1
לֹוּכְשֶא,1
הָרֹרְמ,1
ןיִנַּת,1
ןֶתֶּפ,1
דיֵא,2
ןִיַי,2
ְךיִסָנ,1
קָרָּב,1
בֶרֶח,5
לָלָח,2
עַרֶּפ,1
םיִרָבֲע,1
ֹובְנ,2
ןָעָנְּכ,2
הָביִרְמ,3
שֵדָק,1
ןִצ,1
ןָראָפ,1
הָבָבְר,1
הָּלִהְק,1
בֹקֲעַי,18
הָדּוהְי,8
לַעֹּפ,4
דיִדָי,1
ְךָרֹבְמ,1
דֶגֶמ,8
שֶרֶּג,1
םֶדֶק,6
הָעְבִּג,2
ןֹוצָר,7
ןֵכֹש,1
הֶנְס,1
ףֵסֹוי,2
דֹקְדֹק,3
ריִזָנ,1
ןֶרֶק,6
םֵאְר,3
סֶפֶא,9
עַפֶש,1
ןּופָש,2
ןּומָט,1
לֹוח,3
ביִחְרַמ,1
דָּג,1
הָקְלֶח,3
קֵקֹחְמ,1
הָקָדְצ,6
רּוג,1
הֵיְרַא,2
ַעֵבָש,1
יּוצָר,1
ַעֹורְז,5
ןֵגָמ,3
רֶזֵע,1
הָוֲאַּג,4
םִיַרְפֶא,2
הָעְקִּב,1
ֹוחיִרְי,1
רָמָּת,1
בָאומ,1
יִכְּב,1
לֶבֵא,1
הֶשֹמ,2
ַחּור,18
הָמְכָח,8
לָשָמ,3
הֹמֹלְש,3
דִוָּד,2
הָניִּב,3
לֵּכְשַה,2
הָאְרִי,18
תַעַּד,9
הָיְוִל,2
ןֵח,6
לֹואְש,8
דֵרֹי,8
רֹוּב,6
חַרֹא,19
ַעֵצֹּב,1
לָעָּב,10
הָבּושְמ,1
יִתֶּפ,2
הָוְלַש,1
ליִסְּכ,17
הָעָר,14
ְךֵלֹה,1
םֹּת,3
דיִסָח,3
לָגֲעַמ,4
רֶשֹי,2
ְךֵשֹח,1
הָכּופְהַּת,1
עַר,16
ףּוּלַא,1
םיִרּועְנ,4
רָחְסִמ,1
םַעֹנ,4
הָאֹוש,1
עָשָר,62
הָרֵאְמ,2
הֶוָנ,3
הָרָטֲע,6
תֶרֶאְפִּת,5
עַשֶר,3
ןִּיַי,2
רֹוא,12
ּהַגֹנ,1
ןֹוכָנ,1
הָאָצֹוּת,1
תּושְּקִע,1
תּוזָל,1
יִרְכָנ,2
הֶרֹומ,1
גֶלֶּפ,5
הָלָּיַא,1
בֵהַא,1
הָלֲעַי,1
קֹח,2
תֶלֶּוִא,5
קּבִח,1
ןֶוָא,15
תּושְקִע,1
ןֹושָל,19
הָבָשְחַמ,5
תַחַכֹוּת,2
רָּכִּכ,1
ןֹוה,1
םָקָנ,1
רָפְּכ,1
ןֹוּלַח,1
תיִש,1
רּוצָנ,1
םֵלָש,1
ןּוטֵא,1
רֹורְצ,1
אֵּסִּכ,4
בֹר,20
חַקֶל,1
ליִוֱא,7
רֶדֶח,5
םֹורָמ,3
ביִתָנ,4
חָּתְפִמ,1
אֵצֹמ,4
הָּמִזְמ,3
טֶפֹש,2
לָעְפִמ,1
דָּבְכִנ,1
םִּיַמ,3
לֵבֵּת,2
םֹוהְּת,1
ףַּג,2
תֶרֶק,2
הָּלִחְּת,1
שֹודָק,8
תּוליִסְּכ,1
רֵבֹע,5
רֶתֵס,6
קֶמֶע,1
הָגּוּת,1
רָצֹוא,1
הָּוַה,3
הָּיִמְר,4
ץּורָח,4
רֹוקָמ,7
ןֹובָנ,1
וֵג,2
הָיְרִק,3
הָּתִחְמ,2
לַּד,4
הָּלֻעְּפ,4
הָנּובְּת,7
הָרֹוגְמ,1
הָוֲאַּת,8
תֶלֶחֹוּת,3
הָוְקִּת,3
לֵעֹּפ,9
ןֵוָא,1
הֶּפ,5
םִיַנְזאֹמ,3
הָמְרִמ,11
הָּמֻּת,1
ףֶלֶס,1
דֶגֹּב,1
םיִמָּת,1
דֵגֹּב,4
בּוט,7
דֶסֶח,16
רֶכֶש,1
תֶמֱא,10
שֵּקִע,1
םיִמָּת,2
םֶזֶנ,2
בָהָז,5
ריִזֲח,1
רָס,1
םַעַט,3
שֶרֹש,2
הִּשִא,1
הָּלֻּבְחַּת,1
הֵוֲעַנ,1
םיִמֲחַר,3
דֹוצָמ,1
עַשֶּפ,8
לּומְּג,2
הָרֵקְדַמ,1
שֵרֹח,3
ץֵעֹי,1
הֶשֹע,9
רֶפֹּכ,2
רֵנ,4
ְךָּשֻמְמ,1
אֵרָי,13
שֵקֹומ,7
אֵטֹח,1
ריִנ,1
עַבֹש,1
זֹולָנ,1
רֶטֹח,1
סּובֵא,1
רַּב,6
חֹכ,1
םּורָע,1
ליִסְּכ,3
הָרָמ,1
רָצָק,2
רָעָש,9
בֵהֹא,9
ריִשָע,2
חָטְבִמ,5
הָרָדֲה,2
םֹאְל,4
ןֹוזָר,1
ְךֶרֶא,4
אֵּפְרַמ,2
בָקָר,1
םֶצֶע,2
הֶנֲעַמ,3
בֶצֶע,1
םיּיַח,1
הָּלִפְּת,6
תֶבֶּצַע,1
הָחֻרֲא,1
קָרָי,1
הָכֻשְמ,1
קֶדֵח,1
תִיָּב,2
הֶאֵּג,1
ַעֵמֹש,2
הָחֵכֹוּת,1
ְךָרֲעַמ,1
ְךֶרֶד,1
ַּהֹבָּג,1
סיִּכ,1
ְךָאְלַמ,5
בָע,2
שֹוקְלַמ,1
הָּלִסְמ,1
ּהַבֹּג,2
לֶכֶש,3
ףּוצ,2
דֵכֹל,1
ןֶּוָא,1
ןֹודָמ,5
ןִיַא,1
לָבָנ,2
ןיִבֵמ,1
רַק,1
םֵטֹא,1
עָשֶר,2
ןָּגְרִנ,1
תיִחְשַמ,1
לָּדְגִמ,2
ןָּתַמ,2
ַחיִרָּב,1
ןֹומְרַא,1
ביִדָנ,3
שָר,1
ףָּדְרִמ,2
ףַעַז,1
ןָיְדִמ,1
הֶזֹּב,1
הֶוְלַמ,1
בָזָּכ,7
הָעֵּד,2
וֵּג,2
הָמיֵא,2
ןיִּד,7
עַבְש,1
הָניִנְּפ,1
רָקָי,1
ְךֶשֹח,2
דָעְצִמ,2
הָמָשְנ,3
רּוחָּב,2
רָדָה,5
הָרּובֲח,1
עַצֶּפ,2
הָּכַמ,2
בָחָר,1
שֵּקַבְמ,9
דֵש,1
גָּג,3
ןָּיְדִמ,1
רֶבֶח,1
הָקָעְז,1
הָרְבֶע,3
ןֹודָז,1
לֵצָע,1
הָשָע,1
רֹוהָט,1
רֵז,1
םּועָז,1
ְטְשֹק,2
ַעֵקֹּת,1
הָּלִמ,1
אֵבֹס,1
לֵלֹז,1
תּוליִלְכַח,1
לֵּבִח,1
הָּמִז,1
הָרָצ,9
דיִּפ,1
םִיַנְש,2
םָּנִח,2
רֵדָּג,1
קֻּבִח,1
הָּיִקְזִח,1
דֹובָּכ,1
דֹובָּכ,20
חּוּפַּת,1
תיִּכְשַמ,2
יִלֲח,1
םֶתֶּכ,2
הָּנִצ,1
גֶלֶש,1
ריִצָק,1
תָּתַמ,1
הָרָק,1
ןֹופָצ,2
הָּנִּפ,1
רֵבָח,1
קָחְרֶמ,1
רֶקֵח,1
ץּורָּפ,1
רֹוּכִש,1
ביִשֵמ,2
ןָּגְרִנ,1
גיִס,1
דֶבֹּכ,1
לֶטֶנ,1
תּוּיִרָזְכַא,1
ףֶטֶש,2
הָקיִשְנ,1
אֵנֹש,4
קֵתָמ,1
הֶעֵר,1
דיִא,1
ריִרְגַס,1
ןיִמָי,11
בֶשֵע,2
בֵזֹע,2
תֹוּקַשֲעַמ,1
עַצֵּב,1
קיֵר,1
תַּפ,1
ןֹוצָל,1
םָד,1
ְךֹּת,1
ןִּיַע,1
תּואֵּג,1
לָפָש,1
הָדָרֲח,1
לֵשֹמ,1
רּוגָא,1
םּואְנ,1
הָרְמִא,4
ַהֹולֱא,3
קֹוח,2
רֶצֹע,3
םַחַר,1
הָהָקִי,1
בֵרֹע,2
רֶשֶנ,2
שָחָנ,2
הָּיִנֳא,3
ןָטָק,1
לָכיֵה,9
ביִטיֵמ,2
דָעָצ,1
תֶכֶל,1
ריִזְרַז,1
םִיַנְתָמ,1
ץיִמ,3
לֵאּומְל,1
אָּשַמ,1
יִנֳע,2
רַמ,1
ץֶפֵח,2
רֵחֹס,1
הָכיִלֲה,2
תּולְצַע,1
בָשֹומ,4
ץֵל,1
הָדֵע,9
רֵצֹי,1
טֵפֹש,3
תֵע,6
עַוֶש,1
יִכֶּב,1
שּוכ,1
יִניִמְי,1
רֵרֹצ,3
לֵלֹוע,1
קֵנֹי,1
גָּד,1
ַעֵדֹי,2
הָקָעְצ,2
ןֹוּיִצ,12
ַחֵכֹש,2
וָנָע,3
בָרֲאַמ,1
רֵצָח,6
הָפָעְלַז,1
תַנְמ,3
סֹוּכ,3
קָלָח,2
דֹש,1
הָקָנֲא,2
ןֹויְבֶא,4
לֵעֹּפ,2
לֵכֹא,3
תּובְש,3
הֶּלֵא,1
ריִּדַא,1
ץֶפֶח,2
הָחְמִש,3
ץיִרָּפ,1
לֵצ,4
עַשֶי,13
לָחָנ,2
רָה,1
הָכֵשֲח,1
קָחָש,1
לָחָג,2
שֵא,6
קיִפָא,2
לֶבֶּת,3
רֹּב,2
תֶשֶק,3
הָשּוחְנ,1
טיִט,2
ץּוח,1
עַמֶש,2
תּודֵע,6
םיִּכְחַמ,1
דּוּקִּפ,1
ַחֵּמַשְמ,1
ריִאֵמ,1
תֶפֹנ,1
ןֹויָּגִה,1
הָרּובְּג,3
אֹרְק,1
תֶשֶרֲא,1
זָּפ,1
ןֹויְלֶע,5
רּוּנַּת,1
הֶלֶּיַא,1
רָחָש,1
הָגָאְש,1
הָּלִהְּת,5
הָּפְרֶח,5
יּוזָּב,1
דַש,1
ריִּבַא,7
ַעֵרֵמ,1
תּונֱע,1
הָחָּפְשִמ,1
ןֶשֶּד,2
הָוָנ,5
אֵשֵּד,1
הָחּונְמ,1
אְיַּג,1
תֶוָמְלַצ,2
שֵרֹּד,4
רֹוּבִּג,2
אְטֶח,1
הָחְרָא,1
רֶצֶנ,2
דֹוס,4
םיִתֵמ,1
עַרֵמ,1
לוק,1
הָדֹוּת,4
ןָּכְשִמ,5
זֹועָמ,6
הָעּורְּת,3
רַצ,3
םיִנּונְחַּת,1
ריִבְּד,1
רֵבֹּד,1
ַעֹר,1
הָלּועְּפ,1
ןּונְחַּת,2
זֶרֶא,2
ןֹונָבְל,1
הָבָהְל,1
רבדְמ,1
ריִש,19
הָּכֻנֲח,1
הָדּוצְמ,1
לֶבֶה,1
אְוַש,1
הָּבִּד,1
סֶכֶר,1
רֹוצָמ,2
ןּונֲחַּת,3
יּושָנ,1
יּוסְּכ,1
הָאָטֲח,1
ןֹובָרֵח,1
ץִיַק,1
תאָּטַח,1
םִּיַמ,1
ןֹר,1
טֵּלַּפ,1
ןֹוכָמ,2
תֶבֶש,2
חֹּכ,1
הֶנַּפ,1
רָּבְשִנ,1
אָּכַּד,1
בֵשֹח,1
תַחַש,2
תֶשֶר,1
שּובָל,1
קַש,1
לֵבָא,1
ףֵנָח,2
גַעַל,2
גֹועָמ,1
עַגֶר,1
םֻאְנ,1
ןֶדֶע,1
הָלְוַע,3
אֶשֶּד,1
הָלָאְשִמ,1
ַחיִלְצַמ,1
הָמיִזְמ,1
הֶוֹק,1
ןֹומָה,2
םיִּמַּת,1
ןֹובָעֵר,1
רָקָׁי,1
הָרָּכַה,1
הָעּושְּת,4
הָמָהְנ,1
םֵּלַשְמ,1
הָּדִמ,1
הָרְגִּת,1
ןֹואָש,4
ןֵוָי,2
הֶטֹש,1
הָּלִגְמ,1
,1
הָעּושְּת,1
יַוְּד,1
חַרֹק,11
הָּנִר,3
ןֵדְרַי,1
רָעְצִמ,1
רֹוּנִצ,1
עַלֶס,2
ץַחַל,2
ליִּג,2
רֹוּנִּכ,1
דֹונָמ,1
תֶשֹּב,1
ןַּת,1
הָמּולֲעַּת,1
הָחְבִט,1
תּודיִדְי,1
הָוָנֲע,1
תּוכְלַמ,4
ןֹושָש,3
ריִפֹוא,1
רֹצ,2
תֶצֶּבְשִמ,1
ןֹואָּג,1
ךֶלֶמ,1
םָהָרְבַא,1
ףֹונ,1
שֹושָמ,1
הָכֵרְי,2
םיִדָק,1
שיִשְרַּת,2
דֶלֶח,1
תּוגָה,1
בֵקָע,2
רֶשֹע,1
ןֹויְדִּפ,1
לָלְכִמ,1
יִפֹי,1
תֵרֹּכ,1
הָּיַח,3
רָעָי,2
זיִז,1
יַדָש,1
דּוּתַע,1
הָמֹוח,1
םִיַלָשּורְי,4
ְךֶלֶמיִחֱא,1
עַלֶּב,1
רְשֹע,1
תיַּב,1
בוט,1
ְךֵנֹח,1
ְךֵמֹס,1
הָקָע,1
הָאָמְחַמ,1
בָרְק,2
רֵאְּב,1
הָנֹוי,2
םֶלֵא,2
הָעָּתְלִמ,1
ריִפְּכ,1
לֶפֵנ,1
תאָּטַח,1
ןַשּוש,1
אְיַּג,1
הָלֵעְרַּת,1
קֶמֵע,3
ריִס,2
ץַחַר,2
הָּיִצ,2
הָנָנְר,1
יִּתְחַּת,1
תָנְמ,1
לָעּוש,1
דָחָּפ,1
הָשְגִר,2
לַּג,1
רֶקֹּב,1
בֶרֶע,2
הָבֹוט,1
הָלָעְפִמ,1
הָלֹע,1
ַחֹמ,1
תֶרֹטְק,1
לִיַא,1
םֶשֶּג,1
ןֹנְבַּג,1
בֶכֶר,1
רָעֵש,1
הָלּוצְמ,2
ןּוּלֻבְז,1
יִלָּתְפַנ,1
הֶנָק,1
ץַר,1
םִּיַמָש,3
םיִקָמֲעַמ,2
הָאְנִק,1
ףֶרֹח,1
הָניִגְנ,2
הֶתֹש,1
רָכֵש,1
תֶלֹּבִש,1
בֹואְכַמ,1
ץֵפָח,1
לֵּוַעְמ,1
ץֵמֹח,1
הֶעֵמ,1
הָנְקִז,1
ןֵטֹש,2
םֹוהְּת,2
לֶבֵנ,2
אָבְש,2
הָּסִּפ,1
יַּשִי,1
לָמָע,2
שֹונֱא,2
אֵלָמ,1
וֵלָש,1
שָּדְקִמ,1
הָבְרִק,1
תיִעְרַמ,2
הָאּוּשַמ,1
חַצֶנ,1
ְךֹבְס,1
ןיִּנַּת,1
ןָתָיְוִל,1
ןָתיֵא,1
ְךָשְחַמ,1
םָק,1
ףֶרֶט,1
תיִרֵאְש,1
דיִגָנ,1
הָּרֻמְש,1
הָי,2
םַעַר,1
ןֹרֲהַא,6
קֶשֶנ,3
םֹור,1
ןַעֹצ,2
תֶלֶּד,2
תָחָלְשִמ,2
לֵהֹא,5
םָח,1
טֶבֵש,5
הָשָּקַּב,1
הֹּלִש,1
הָאָלְכִמ,1
הָנּובְּת,1
הָלָבְנ,1
הָמָקְנ,2
ריִסָא,3
לֶדֹּג,1
הָתּומְּת,1
הָּלִפְּת,1
הָרָָעְּג,1
םָעָר,1
תּוריִרְש,1
בֶלֵח,2
םֹודֱא,2
רֹוצ,1
ןֹושיִק,1
אָכָּב,1
ַחיִשָמ,3
םַעַּפ,1
ץיִרָע,1
ְךֵרָא,1
בֵכֹש,1
רֶבֶק,1
הָּיִשְנ,1
תֹואֵּג,1
םיִמּולֲע,1
לּואָּג,1
ןֹומיִשְי,1
תֶשֹחְנ,1
ַחיִרְּב,2
הָכאָלְמ,1
זֹוחָמ,1
בשֹומ,1
םַגֲא,2
ןֹוגָי,1
רָצְבִמ,1
תאַּטַח,1
הֶּטַמ,1
לַט,2
תּוּדְלַי,1
ַחֹּכ,1
הָוֹהְּי,3
הָמּוד,1
רַצֵמ,1
ץֹוק,1
ויִמָי,1
םיִמָת,1
רֵצֹנ,1
קֶדֵצ,1
םיִדּוּקִּפ,3
רֹוגָמ,1
תֹוצֲח,1
תַעַד,1
לֹּכ,2
חַתֵּפ,1
קֵשֹע,1
ףֵדֹר,1
הָּמִז,1
טָּפְשִמ,1
רָדֵק,1
הָלֲעַמ,13
הָחְפִש,1
הָריִבְּג,1
ןָנֲאַש,1
חַּפ,1
שֵקֹי,1
לָרֹוּג,1
קיִדַצ,1
לֵעֹפ,1
ְךֶשֶמ,1
םיִּכְשַמ,1
םּוק,1
רֵחֵא,1
לֶתֶש,1
תֹבֲע,1
ריִצָח,1
הָמְדַק,1
ףֶלֶש,1
תִּיַּב,1
ַעּוצָי,1
בֹׁקֲעַי,1
םֹדֲה,1
רֹוכְב,1
בָצָע,1
תִיַּב,1
אָלְפִנ,2
עָקֵר,1
רֵזֹג,2
ְךיִלֹומ,1
לֶבָּב,2
רַחַש,1
תיִּתְחַּת,1
תיִלְכַּת,1
בֶצֹע,1
בּושְכַע,1
יַוֲאַמ,1
בֵסֵמ,1
תֵאְשַמ,1
הָחְנִמ,1
רֹושָע,1
תיִוָז,1
בָּטֻחְמ,1
דֹוה,1
זּוזֱע,1
אָרֹונ,1
שֵדֹק,1
הֶנֹּב,1
חָּדִנ,1
רּובָש,1
חֹּכ,1
סּוס,1
קֹוש,1
הָרָעְס,1
םֵמֹור,1
לֶבֶּכ,1
ַעיִקָר,1
עַקֵּת,1
רָפֹוש,1
םיִלְצְלֶצ,2
