N,C Ph,Ref,JBD,NoG CPh,NoG Rec ,NoG Reg,Quant mid,Quant pre,Aff pron,Aff conj,Aff prep,Po,Pr,Mult Rec ,Mult regs,Rec part Pas,Rec part pf,Rec part pm,Rec part sf,Rec  part sm,Reg part Pas,Reg part pf,Reg  pm,Reg  sf, Reg  sm,צורת הסמיכות,C Ph
74,שלל הערים,Deu 3:7,,,,,,,,,,,V,,,,,,,,,,,,,,
75,מיד שני מלכי האמרי,Deu 3:8,,,,,V, ,,,V,,V,,2,,,,,,,,,,,,
76,בעבר הירדן ,Deu 3:8,,,,,,,,,V,,V,,,,,,,,,,,,,,
77,מנחל ארנן,Deu 3:8,,,,,,,,,V,,V,,,,,,,,,,,,,,
78,הר חרמון,Deu 3:8,,,,,,,,,,,V,,,,,,,,,,,,,,
79,כל ערי המישר,Deu 3:10,,,,,,V,,,,,V,,,,,,,,,,,,,,
80,ערי ממלכת עוג,Deu 3:10,,,,,,,,,,,V,,2,,,,,,,,,,,,
81,מלך הבשן,Deu 3:11,,,,,,,,,,,V,,,,,,,,,,,,,,
82,מיתר הרפאים,Deu 3:11,,,,,,,,,,,V,,,,,,,,,,,,,,
83,ערש ברזל,Deu 3:11,,,,,,,,,,,V,,,,,,,,,,,,,,
84,בני עמון,Deu 3:11,,,,,,,,,,,V,,,,,,,,,,,,,,
85,בְּאַמַּת אִישׁ,Deu 3:11,,,,,,,,,V,,V,,,,,,,,,,,,,,
86,נחל ארנן,Deu 3:12,,,,,,,,,,,V,,,,,,,,,,,,,,
87,וחצי הר הגלעד,Deu 3:12,,,,,,V,,V, ,,V,,,,,,,,,,,,,,
88,ויתר הגלעד,Deu 3:13,,,,,, ,,V, ,,V,,,,,,,,,,,,,,
89,ממלכת עוג,Deu 3:13,,,,,,,,,,,V,,,,,,,,,,,,,,
90,לחצי שבט המנשה,Deu 3:13,,,,,,V,,,,,V,,,,,,,,,,,,,,
91,כל חבל הארגב,Deu 3:13,,,,,,V,,,,,V,,,,,,,,,,,,,,
92,ארץ רפאים,Deu 3:13,,,,,,,,,,,V,,,,,,,,,,,,,,
93,בן מנשה,Deu 3:14,,,,,,,,,,,V,,,,,,,,,,,,,,
94,כל חבל ארגב,Deu 3:14,,,,,,V,,,,,V,,,,,,,,,,,,,,
95,גבול הגשורי,Deu 3:14,,,,,,,,,,,V,,,,,,,,,,,,,,
96,חות יאיר,Deu 3:14,,,,,,,,,,,V,,,,,,,,,,,,,,
97,נחל ארנן,Deu 3:16,,,,,,,,,,,V,,,,,,,,,,,,,,
98,גבול בני עמון,Deu 3:16,,,,,,,,,,,V,,2,,,,,,,,,,,,
99,ים הערבה,Deu 3:17,,,,,,,,,,,V,,,,,,,,,,,,,,
100,ים המלח,Deu 3:17,,,,,,,,,,,V,,,,,,,,,,,,,,
101,אשדת הפסגה,Deu 3:17,,,,,,,,,,,V,,,,,,,,,,,,,,
102,בני ישראל,Deu 3:18,,,,,,,,,,,V,,,,,,,,,,,,,,
103,כל בני חיל,Deu 3:18,,,,,,V,,,,,V,,,,,,,,,,,,,,
104,בעבר הירדן ,Deu 3:20,,,,,,,,,V,,V,,,,,,,,,,,,,,
105,בעבר הירדן ,Deu 3:25,,,,,,,,,V,,V,,,,,,,,,,,,,,
106,ראש הפסגה,Deu 3:27,,,,,,,,,,,V,,,,,,,,,,,,,,
107,בית פעור,Deu 3:29,?,,,,,,,,,,V,,,,,,,,,,,,,,
108,אלהי אבתיכם,Deu 4:1,,,,אלהי,,,V,, ,,V,,,,,,,,,,,,,,
109,מצות יהוה אלהיכם,Deu 4:2,,,יהוה ,,,,,,,,V,,,,,,,,,,,,,,
110,לעיני העמים,Deu 4:6,,,,,,,,,V,,V,,,,,,,,,,,,,,
111,כל ימי חייך,Deu 4:9,,,,,,V,V,, ,,V,,,,,,,,,,,,,,
112,ולבני בניך,Deu 4:9,,,,,,V,,, V,,V,,,,,,,,,,,,,,
113,לב השמים,Deu 4:11,,,,,,,,,,,V,,,,,,,,,,,,,,
114,קול דברים,Deu 4:12,,,,,,,,,,,V,,,,,,,,,,,,,,
115,לחות אבנים,Deu 4:13,,,,,,,,,,,V,,,,,,,,,,,,,,
116,תמונת כל סמל ,Deu 4:16,?,,,,V, ,,,,,V,,,,,,,,,,,,,,
117,תבנית זכר או נקבה,Deu 4:16,,,,,,,,,,,V,2, ,,,,,,,,,,,,
118,תבנית כל בהמה,Deu 4:17,,,,,V, ,,,,,V,,,,,,,,,,,,,,
119,תבנית כל צפור כנף,Deu 4:17,,,,,V, ,,,,,V, ,2,,,,,,,,,,,,
120,תבנית כל רמש,Deu 4:18,,,,,V, ,,,,,V,,,,,,,,,,,,,,
121,תבנית כל דגה,Deu 4:18,,,,,V, ,,,,,V,,,,,,,,,,,,,,
122,כל צבא השמים,Deu 4:19,,,,,,V,,,,,V,,,,,,,,,,,,,,
121,מכור הברזל,Deu 4:20,,,,,,,,,V,,V,,,,,,,,,,,,,,
122,לעם נחלה,Deu 4:20,,,,,,,,,V,,V,,,,,,,,,,,,,,
123,ברית יהוה אלהיכם,Deu 4:23,,,יהוה ,,,,,,,,V,,,,,,,,,,,,,,
124,ובני בנים,Deu 4:25,,,,,,,,V, ,,V,,,,,,,,,,,,,,
125,תמונת כל,Deu 4:25,,,,,, ,,,,,V,,,,,,,,,,,,,,
126,בעיני יהוה אלהיך,Deu 4:25,,,יהוה ,,,,V,,V,,V,,,,,,,,,,,,,,
127,מתי מספר,Deu 4:27,,,,,,,,,,,V,,,,,,,,,,,,,,
128,מעשה ידי אדם ,Deu 4:28,,,,,,,,,,,V, ,2,,,,,,,,,,,,
129,באחרית הימים,Deu 4:30,,,,,,,,,V,,V,,,,,,,,,,,,,,
130,ברית אבתיך ,Deu 4:31,,,,,,,,,V,,V,,,,,,,,,,,,,,
131,ולמקצה השמים,Deu 4:32,,,,,,V,,,V,,V,,,,,,,,,,,,,,
132,קצה השמים ,Deu 4:32,,,,,,,,,,,V,,,,,,,,,,,,,,
133,קול אלהים,Deu 4:33,,,אלהים,,,,,,,,V,,,,,,,,,,,,,,
134,בעבר הירדו,Deu 4:41,,,,,,,,,V,,V,,,,,,,,,,,,,,
135,בארץ המישר,Deu 4:43,,,,,,,,,V,,V,,,,,,,,,,,,,,
136,בני ישראל,Deu 4:44,,,,,,,,,,,V,,,,,,,,,,,,,,
137,בני ישראל,Deu 4:45,,,,,,,,,,,V,,,,,,,,,,,,,,
138,בעבר הירדן ,Deu 4:46,,,,,,,,,V,,V,,,,,,,,,,,,,,
139,בארץ סיחן,Deu 4:46,,,,,,,,,V,,V,,,,,,,,,,,,,,
140,מלך האמרי,Deu 4:46,,,,,,,,,,,V,,,,,,,,,,,,,,
141,ובני ישראל,Deu 4:46,,,,,,,,V,,,V,,,,,,,,,,,,,,
142,ארץ עוג,Deu 4:47,,,,,,,,,,,V,,,,,,,,,,,,,,
143,מלך הבשן,Deu 4:47,,,,,,,,,,,V,,,,,,,,,,,,,,
144,שני מלכי האמרי,Deu 4:47,,,,,,V,,,,,V,,,,,,,,,,,,,,
145,בעבר הירדן ,Deu 4:47,,,,,,,,,V,,V,,,,,,,,,,,,,,
146,מזרח שמש,Deu 4:47,,,,,,,,,,,V,,,,,,,,,,,,,,
147,שפת נחל ארנן,Deu 4:48,,,,,,,,,,,V,,2,,,,,,,,,,,,
148,הר שיאן,Deu 4:48,,,,,,,,,,,V,,,,,,,,,,,,,,
147,עבר הירדן,Deu 4:49,,,,,,,,,,,V,,,,,,,,,,,,,,
148,ים הערבה,Deu 4:49,,,,,,,,,,,V,,,,,,,,,,,,,,
149,אשדת הפסגה,Deu 4:49,,,,,,,,,,,V,,,,,,,,,,,,,,
150,דבר יהוה,Deu 5:5,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
151,מארץ מצרים,Deu 5:6,,,,,,,,,V,,V,,,,,,,,,,,,,,
152,מבית עבדים,Deu 5:6,,,,,,,,,V,,V,,,,,,,,,,,,,,
153,פסל כל תמונה,Deu 5:8,?,,,,V, ,,,,,V,,,,,,,,,,,,,,
154,עון אבות,Deu 5:9,,,,,,,,,,,V,,,,,,,,,,,,,,
155,ולשמרי מצותו,Deu 5:10,,,,,,,,,V,,V,,,,,,,,,,V,,,,
156,שם יהוה אלהיך,Deu 5:11,,,יְהוָ֥ה,,,,,,,,V,,,,,,,,,,,,,,
157,יום השבת ,Deu 5:12,,,,,,,,,,,V,,,,,,,,,,,,,,
158,ויום השביעי,Deu 5:14,,,,,,,,V, ,,V,,,,,,,,,,,,,,
159,בארץ מצרים,Deu 5:15,,,,,,,,,V,,V,,,,,,,,,,,,,,
160,יום השבת ,Deu 5:15,,,,,,,,,,,V,,,,,,,,,,,,,,
161,עד שוא,Deu 5:20,,,,,,,,,,,V,,,,,,,,,,,,,,
162,אשת רעך,Deu 5:21,,,,,,,V,, ,,V,,,,,,,,,,,,,,
163,בית רעך,Deu 5:21,,,,,,,V,, ,,V,,,,,,,,,,,,,,
164,לחת אבנים,Deu 5:22,,,,,,,,,,,V,,,,,,,,,,,,,,
165,כל ראשי שבטיכם,Deu 5:23,,,,,,V,,,,,V,,,,,,,,,,,,,,
166,קול יהוה אלוהינו,Deu 5:25,,,,,,,,,,,V,,,,,,,,,,,,,,
167,קול אלהים,Deu 5:26,,,אלהים,,,,,,,,V,,,,,,,,,,,,,,
168,קול דבריכם,Deu 5:28,,,,,,,V,,,,V,,,,,,,,,,,,,,
169,קול דברי העם,Deu 5:28,,,,,,,,,,,V,,2,,,,,,,,,,,,
170,ובן בנך,Deu 6:2,,,,,,,V,V,,,V,,,,,,,,,,,,,,
171,כל ימי חייך,Deu 6:2,,,,,,V,,,V,,V,,,,,,,,,,,,,,
172,אלהי אבתיך,Deu 6:3,,, ,אלהי,,,,,V,,V,,,,,,,,,,,,,,
173,זבת חלב ודבש,Deu 6:3,,,,,,,,,,,V,,,,,,,,,,,V,,,
174,מזוזת ביתך,Deu 6:9,,,,,,,V,, ,,V,,,,,,,,,,,,,,
175,מארץ מצרים,Deu 6:12,,,,,,,,,V,,V,,,,,,,,,,,,,,
176,מבית עבדים,Deu 6:12,,,,,,,,,V,,V,,,,,,,,,,,,,,
177,מאלהי העמים,Deu 6:14,,,,,,,,,V,,V,,,,,,,,,,,,,,
178,אף יהוה ,Deu 6:15,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
179,מצות יהוה אלהיכם,Deu 6:17,,,יהוה  ,,, ,,, ,,V,,,,,,,,,,,,,,
180,בעיני יהוה,Deu 6:18,,,יהוה  ,,,,,,V,,V,,,,,,,,,,,,,,
181,אף יהוה ,Deu 7:4,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
182,לעם סגלה,Deu 7:6,,,,,,,,,V,,V,,,,,,,,,,,,,,
183,מאהבת יהוה,Deu 7:8,,,יהוה,,,,,,V,,V,,,,,,,,,,,,,,
184,מבית עבדים,Deu 7:8,,,,,,,,,V,,V,,,,,,,,,,,,,,
185,מיד פרעה,Deu 7:8,,,,,,,,,V,,V,,,,,,,,,,,,,,
186,מלך מצרים,Deu 7:8,,,,,,,,,,,V,,,,,,,,,,,,,,
187,ולשמרי מצותו ,Deu 7:9,,,,,,,V,V,V,,V,,,,,,,,,,V,, ,,
188,פרי בטנך ,Deu 7:13,,,,,,,V,, ,,V,,,,,,,,,,,,,,
189,ופרי אדמתך,Deu 7:13,,,,,,,,, ,,V,,,,,,,,,,,,,,
190,שגר אלפיך,Deu 7:13,,,,,,,V,, ,,V,,,,,,,,,,,,,,
191,ועשתרת צאנך,Deu 7:13,,,,,,,V,V, ,,V,,,,,,,,,,,,,,
192,וכל מדוי מצרים,Deu 7:15,,,,,,V,,V, ,,V,,,,,,,,,,,,,,
193,חית השדה,Deu 7:22,,,,,,,,,,,V,,,,,,,,,,,,,,
194,פסילי אלהיהם,Deu 7:25,,,אלהיהם,,,,,,,,V,,,,,,,,,,,,,,
195,תועבת יהוה אלהיך,Deu 7:25,,,יהוה  ,,,,,,,,V,,,,,,,,,,,,,,
196,כל מוצא פי יהוה,Deu 8:3,,,יהוה,,,V,,,,,V,,2,,,,,,,,,,,,
197,מצות יהוה אלהיך,Deu 8:6,,,יהוה  ,,,,,,,,V,,,,,,,,,,,,,,
198,ארץ נחלי מים,Deu 8:7,,,,,,,,,,,V,,2,,,,,,,,,,,,
199,ארץ חטה ושערה וגפן ותאנה ורמון,Deu 8:8,,,,,,,,,,,V,5, ,,,,,,,,,,,,
200,ארץ זית שמן ודבש,Deu 8:8,,,,,,,,,,,V,3,2,,,,,,,,,,,,
201,מארץ מצרים ,Deu 8:14,,,,,,,,,V,,V,,,,,,,,,,,,,,
202,מבית עבדים,Deu 8:14,,,,,,,,,V,,V,,,,,,,,,,,,,,
203,ועצם ידי,Deu 8:17,,,,,,,V,V, ,,V,,,,,,,,,,,,,,
204,בקול יהוה אלהיכם,Deu 8:20,,,יהוה ,,,,,,V,,V,,,,,,,,,,,,,,
205,בני ענקים,Deu 9:2,,,,,,,,,,,V,,,,,,,,,,,,,,
206,בני ענק,Deu 9:2,,,,,,,,,,,V,,,,,,,,,,,,,,
207,וברשעת הגוים,Deu 9:4,,,,,,,,V, ,,V,,,,,,,,,,,,,,
208,ובישר לבבך,Deu 9:5,,,,,,,,V, ,,V,,,,,,,,,,,,,,
209,ברשעת הגוים,Deu 9:5,,,,,,,,,V,,V,,,,,,,,,,,,,,
210,קשה ערף,Deu 9:6,,,,,,,,,,,V,,,,,,,,,,,,,,
211,מארץ מצרים,Deu 9:7,,,,,,,,,V,,V,,,,,,,,,,,,,,
212,לוחת האבנים,Deu 9:9,,,,,,,,,,,V,,,,,,,,,,,,,,
213,לוחת הברית,Deu 9:9,,,,,,,,,,,V,,,,,,,,,,,,,,
214,לוחת האבנים,Deu 9:10,,,,,,,,,,,V,,,,,,,,,,,,,,
215,באצבע אלהים,Deu 9:10,,,,,,,,,V,,V,,,,,,,,,,,,,,
216,ביום הקהל,Deu 9:10,,,,,,,,,V,,V,,,,,,,,,,,,,,
217,מקץ ארבעים יום,Deu 9:11,,,,,,,,,V,,V,,,,,,,,,,,,,,
218,לוחת האבנים ,Deu 9:11,,,,,,,,,,,V,,,,,,,,,,,,,,
219,לוחת הברית,Deu 9:11,,,,,,,,,,,V,,,,,,,,,,,,,,
220,קשה ערף,Deu 9:13,,,,,,,,,,,V,,,,,,,,,,,,,,
221,לוחת הברית,Deu 9:15,,,,,,,,,,,V,,,,,,,,,,,,,,
222,עגל מסכה,Deu 9:16,,,,,,,,,,,V,,,,,,,,,,,,,,
223,בעיני יהוה ,Deu 9:18,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
224,ובקברות התאוה,Deu 9:22,?,,,,,,,V,V,,V,,,,,,,,,,,,,,
225,פי יהוה אלהיכם,Deu 9:23,,,,,,,,,,,V,,,,,,,,,,,,,,
226,קשי העם,Deu 9:27,,,,,,,,,,,V,,,,,,,,,,,,,,
227,שני לוחת אבנים,Deu 10:1,,,,,,V,,,,,V,,,,,,,,,,,,,,
228,ארון עץ,Deu 10:1,,,,,,,,,,,V,,,,,,,,,,,,,,
229,ארון עצי שטים,Deu 10:3,,,,,,,,,,,V,,2,,,,,,,,,,,,
230,שני לוחת אבנים,Deu 10:3,,,,,,V,,,,,V,,,,,,,,,,,,,,
231,ביום הקהל,Deu 10:4,,,,,,,,,V,,V,,,,,,,,,,,,,,
232,ובני ישראל,Deu 10:6,,,,,,,,V, ,,V,,,,,,,,,,,,,,
233,מבארת בני יעקן,Deu 10:6,?,,,,,,,,V,,V,,,,,,,,,,,,,,
234,ארץ נחלי מים,Deu 10:7,,,,,,,,,,,V,,2,,,,,,,,,,,,
235,שבט הלוי,Deu 10:8,,,,,,,,,,,V,,,,,,,,,,,,,,
236,ארון בית יהוה,Deu 10:8,,,יהוה,,,,,,,,V,,2,,,,,,,,,,,,
237,מצות יהוה ,Deu 10:13,,,יהוה,,,,,,,,V,,,,,,,,,,,,,,
238,ושמי השמים,Deu 10:14,,,,,,,,V, ,,V,,,,,,,,,,,,,,
239,ערלת לבבכם ,Deu 10:16,,,,,,,V,, ,,V,, ,,,,,,,,,,,,
240,אלהי האלהים,Deu 10:17,,,,אלהי,,,,V,,,V,,,,,,,,,,,,,,
241,ואדני האדנים,Deu 10:17,,אדני האדנים,,,,,,, ,,V,,,,,,,,,,,,,,
242,משפט יתום ואלמנה,Deu 10:18,,,,,,,,,,,V,2, ,,,,,,,,,,,,
243,בארץ מצרים,Deu 10:19,,,,,,,,,V,,V,,,,,,,,,,,,,,
244,ככוכבי השמים,Deu 10:22,,,,,,,,,V,,V,,,,,,,,,,,,,,
245,מוסר יהוה אלהיכם,Deu: 11:2,,,יהוה ,,,,,,,,V,,,,,,,,,,,,,,
246,מלך מצרים,Deu: 11:3,,,,,,,,,,,V,,,,,,,,,,,,,,
247,לחיל מצרים,Deu: 11:4,,,,,,,,,V,,V,,,,,,,,,,,,,,
248,מי ים סוף ,Deu: 11:4,,,,,,,,,,,V, ,2,,,,,,,,,,,,
249,בני אליאב,Deu: 11:6,,,,,,,,,,,V,,,,,,,,,,,,,,
250,בן ראובן,Deu: 11:6,,,,,,,,,,,V,,,,,,,,,,,,,,
251,כל מעשה יהוה,Deu: 11:7,,,יהוה,,,V,,,,,V,,,,,,,,,,,,,,
252,זבת חלב ודבש,Deu: 11:9,,,,,,,,,,,V,2, ,,,,,,,,,V, ,,
253,כארץ מצרים,Deu: 11:10,,,,,,,,,V,,V,,,,,,,,,,,,,,
254,כגן הירק,Deu: 11:10,,,,,,,,,V,,V,,,,,,,,,,,,,,
255,ארץ הרים,Deu: 11:11,,,,,,,,,,,V,,,,,,,,,,,,,,
256,למטר השמים,Deu: 11:11,,,,,,,,,V,,V,,,,,,,,,,,,,,
257,עיני יהוה אלהיך,Deu: 11:12,,,,,,,,,,,V,,,,,,,,,,,,,,
258,מרשית השנה,Deu: 11:12,,,,,,,,,,,V,,,,,,,,,,,,,,
259,אחרית שנה,Deu: 11:12,,,,,,,,,,,V,,,,,,,,,,,,,,
260,מטר ארצכם,Deu: 11:14,,,,,,,V,, ,,V,,,,,,,,,,,,,,
261,אף יהוה ,Deu: 11:17,,,יְהוָ֥ה ,,,,,,,,V,,,,,,,,,,,,,,
262,מזוזות ביתך ,Deu: 11:20,,,,,,,V,, ,,V,,,,,,,,,,,,,,
263,וימי בניכם,Deu: 11:21,,,,,,,V,V, ,,V,,,,,,,,,,,,,,
264,כימי השמים,Deu: 11:21,,,,,,,,,V,,V,,,,,,,,,,,,,,
265,כף רגלכם,Deu: 11:24,,,,,,,V,, ,,V,,,,,,,,,,,,,,
266,נהר פרת,Deu: 11:24,,,,,,,,,,,V,,,,,,,,,,,,,,
267,מצות יהוה אלהיכם,Deu: 11:27,,,יהוה אלהיכם,,,,V,, ,,V,,,,,,,,,,,,,,
268,מצות יהוה אלהיכם,Deu: 11:28,,,יהוה אלהיכם,,,,V,, ,,V,,,,,,,,,,,,,,
269,הר גרזים,Deu: 11:29,,,,,,,,,,,V,,,,,,,,,,,,,,
270,הר עיבל,Deu: 11:29,,,,,,,,,,,V,,,,,,,,,,,,,,
271,בעבר הירדן ,Deu: 11:30,,,,,,,,,V,,V,,,,,,,,,,,,,,
272,דרך מבוא השמש ,Deu: 11:30,,,,,,,,,,,V,,2,,,,,,,,,,,,
273,בארץ הכנעני,Deu: 11:30,,,,,,,,,V,,V,,,,,,,,,,,,,,
274,אלוני מרה,Deu: 11:30,,,,,,,,,,,V,,,,,,,,,,,,,,
275,אלהי אבתיך ,Deu:12:1,,,אלהי אבתיך,,,,V,, ,,V,,,,,,,,,,,,,,
276,ופסילי אלהיהם,Deu:12:3,,,,,,,V,V, ,,V,,,,,,,,,,,,,,
277,תרומת ידכם,Deu:12:6,,,,,,,V,, ,,V,,,,,,,,,,,,,,
